Ticker,Trailing P/E,Forward P/E,P/B,PEG Ratio,ROE,ROA,Debt/Equity,Current Ratio,Quick Ratio,Profit Margin,Operating Margin,Gross Margin,Revenue Growth,Earnings Growth,Trailing EPS,Forward EPS,Market Cap,Enterprise Value,Dividend Yield,Payout Ratio,Beta,Sector,Industry,Shares Outstanding,Float Shares,Book Value Per Share,P/S,EV/Revenue,EV/EBITDA,Insider Ownership,Institutional Ownership,Short Ratio,Most Recent Quarter,Earnings Date
AEP,19.518463,19.264357,2.2598464,2.27,0.12585,0.031689998,157.099,0.526,0.294,0.16289,0.23738001,0.47243,0.102,0.067,6.77,6.8593,71898038272,124360032256.0,2.88,0.55619997,0.504,Utilities,Utilities - Regulated Electric,544105032,543277915.0,58.473,3.2050123,5.544,13.605,0.00023,0.83017,6.18,2026-03-31,2026-07-30
AES,11.045802,6.0574603,2.5363717,0.81,0.01954,0.02544,259.393,0.766,0.39,0.07439,0.16575001,0.18400998,0.047,-0.317,1.31,2.38879,10318146560,47563726848.0,4.86,0.5373,1.008,Utilities,Utilities - Diversified,713071623,707927227.0,5.705,0.8434682,3.888,13.687,0.0053399997,0.88986,1.26,2025-12-31,2026-03-02
AES,7.5885415,6.0993223,2.3507583,0.81,0.052600004,0.027139999,259.603,0.73,0.417,0.10819,0.18742001,0.19299999,0.087,9.511,1.92,2.38879,10390707200,48374706176.0,4.83,0.3666,0.957,Utilities,Utilities - Diversified,713157713,708515056.0,6.198,0.83212197,3.874,12.883,0.0057599996,0.91738,2.04,2026-03-31,2026-03-02
AFL,16.767202,14.847217,2.0142467,1.18,0.13118,0.025390001,42.682,1.07,0.953,0.21242,0.33558998,0.46644002,-0.099,-0.229,6.83,7.71323,60021522432,64089628672.0,2.13,0.3402,0.652,Financial Services,Insurance - Life,515183672,512037112.0,56.855,3.4969425,3.734,13.383,0.108509995,0.59738,3.23,2025-12-31,2026-04-29
AFL,14.237443,16.502048,2.1252086,1.18,0.16469,0.03088,48.276,0.935,0.814,0.25596002,0.29567,0.50049996,0.279,38.6,8.76,7.55785,63480598528,69674598400.0,1.96,0.26860002,0.603,Financial Services,Insurance - Life,508984904,504643263.0,58.686,3.5048916,3.847,11.849,0.10786,0.59686,4.31,2026-03-31,2026-08-06
AIG,14.489872,8.902336,1.0292906,1.22,0.07399,0.0173,24.408,0.622,0.222,0.11634,0.13768,0.34113997,-0.072,-0.056,5.43,8.83813,42216513536,39926513664.0,2.29,0.3223,0.601,Financial Services,Insurance - Diversified,534866770,534789016.0,76.441,1.586431,1.5,5.041,0.0059100003,0.99569,1.81,2025-12-31,2026-04-30
AIG,14.172536,9.090109,1.0617251,0.66,0.07723,0.01885,22.647,0.611,0.204,0.118389994,0.18620001,0.35534,0.014,0.216,5.68,8.85578,42681597952,42268602368.0,2.48,0.3169,0.541,Financial Services,Insurance - Diversified,530206221,528435332.0,75.82,1.5985018,1.583,5.083,0.0057099997,1.00131,2.05,2026-03-31,2026-08-06
AIZ,13.460993,10.301976,1.931479,2.16,0.15899,0.02149,38.845,0.405,0.15,0.0681,0.101210006,0.11892,0.079,0.151,16.92,22.10838,11339486208,11386819584.0,1.48,0.19370002,0.56,Financial Services,Insurance - Property & Casualty,49786997,49280800.0,117.92,0.88490874,0.889,7.716,0.0076,0.97388,2.38,2025-12-31,2026-05-05
AIZ,14.182377,12.301539,2.3428257,2.16,0.18016,0.024360001,37.61,0.386,0.144,0.076,0.106400006,0.12745,0.113,0.912,19.52,22.5045,13716767744,14002767872.0,1.27,0.1722,0.555,Financial Services,Insurance - Property & Casualty,49547637,49175534.0,118.165,1.0422759,1.064,8.544,0.00712,0.97706,3.0,2026-03-31,2026-08-04
AJG,38.608017,14.942028,2.442172,0.96,0.06906,0.022449998,58.354,1.056,0.202,0.11484,0.104370005,0.42163,0.367,-0.483,5.74,14.83132,56975929344,69222932480.0,1.26,0.45299998,0.683,Financial Services,Insurance Brokers,256888062,254274471.0,90.743,4.3797317,5.321,19.897,0.00879,0.93538004,2.57,2025-12-31,2026-04-30
AJG,41.150726,17.075392,2.7435005,0.84,0.07007,0.0228,56.18,1.063,0.187,0.11354,0.28402,0.42929,0.346,0.162,6.17,14.86935,65237573632,77212909568.0,1.1,0.42880002,0.508,Financial Services,Insurance Brokers,256942000,254074100.0,92.546,4.5948424,5.438,19.498,0.00849,0.9422,3.57,2026-03-31,2026-07-30
