Ticker,FiscalDate,Gross Margin (calc),Operating Margin (calc),Net Margin (calc),EBITDA Margin (calc),FCF Margin (calc),ROE (calc),ROA (calc),ROIC (calc),ROCE (calc),P/E (calc),P/S (calc),P/B (calc),P/FCF (calc),EV/EBITDA (calc),EV/Revenue (calc),EV/FCF (calc),Earnings Yield (calc),Debt/Equity (calc),Debt/Assets (calc),Net Debt/EBITDA (calc),Interest Coverage (calc),Current Ratio (calc),Quick Ratio (calc),Asset Turnover (calc),Receivables Turnover (calc),Cash Conversion Cycle (calc),Cash Conversion Ratio (calc),CapEx/Revenue (calc),SBC/Revenue (calc)
ADP,2025-09-30,0.451983,0.257536,0.195741,0.307157,0.096904,0.158932,0.018648,0.066374,0.116468,100.728695,19.716758,16.009001,203.465937,64.926882,19.94276,205.79815,0.009928,1.494446,0.175353,4.21842,10.656573,1.054147,,0.095271,1.494168,,0.634057,0.027207,0.011343
ADP,2025-12-31,0.460806,0.261508,0.19816,0.308417,0.184987,0.166119,0.012547,0.103772,0.120604,96.081137,19.039458,15.960921,102.923308,62.440421,19.257696,104.103058,0.010408,0.676365,0.051087,0.938774,12.14585,1.032306,,0.063319,1.572334,,1.066761,0.026403,0.013659
ADP,2026-03-31,0.482759,0.30063,0.228953,0.337907,0.344171,0.214138,0.021087,0.131943,0.149264,75.0391,17.180457,16.06875,49.918383,51.426465,17.377386,50.490569,0.013326,0.676446,0.066613,0.373163,23.640407,1.042568,,0.092103,1.664014,,1.64583,0.032647,0.008587
ADSK,2025-01-31,0.90604,0.232459,0.184869,0.260525,0.410616,0.115605,0.02797,0.06323,0.067054,152.156978,28.129081,17.590066,68.504553,107.428219,27.987706,68.160252,0.006572,0.976345,0.236223,1.611241,,0.675985,,0.151297,1.625992,,2.283828,0.011592,0.113484
ADSK,2025-04-30,0.902021,0.206981,0.09308,0.173913,0.336191,0.058082,0.01436,0.044762,0.041652,303.312923,28.232434,17.616952,83.977348,161.520597,28.090539,83.555281,0.003297,0.972105,0.24034,1.661972,118.0,0.653588,,0.154275,3.305668,,3.710526,0.009186,0.140845
ADSK,2025-07-31,0.909813,0.255247,0.177538,0.281906,0.251843,0.115285,0.028832,0.059446,0.071542,147.295733,26.150632,16.981055,103.836857,92.297484,26.0192,103.314976,0.006789,1.006998,0.251842,0.961771,,0.764126,,0.162399,3.31391,,1.469649,0.009075,0.108338
ADSK,2025-10-31,0.910955,0.256341,0.185105,0.283324,0.22504,0.118562,0.03063,0.064768,0.073495,134.412724,24.880499,15.936248,110.560106,87.374951,24.75545,110.004435,0.00744,0.94504,0.244151,0.939048,,0.822598,,0.165476,2.299007,,1.279883,0.011873,0.100378
ADSK,2026-01-31,0.915176,0.271334,0.161472,0.296883,0.493613,0.103777,0.025347,0.068211,0.079742,145.897355,23.558285,15.140744,47.726257,78.953269,23.439882,47.486387,0.006854,0.897865,0.219299,0.402754,,0.850895,,0.156974,1.359972,,3.129747,0.011753,0.092489
ADSK,2026-04-30,0.909514,0.295243,0.253878,0.321613,0.448294,0.153967,0.04115,0.082505,0.085326,93.89728,23.838451,14.45706,53.175968,73.748954,23.71864,52.908708,0.01065,0.854186,0.228294,,,0.834733,,0.162085,3.340242,,1.818737,0.013444,0.080145
AEE,2024-12-31,0.409067,0.102009,0.106646,0.405461,-0.261206,0.017088,0.004641,0.006421,0.007818,149.138378,15.90502,2.548427,-60.890817,66.444271,26.940567,-103.139332,0.006705,1.545485,0.419795,23.780178,1.883041,0.663346,0.440082,0.043522,3.697143,4.213114,3.94686,0.682123,0.003091
AEE,2025-03-31,0.448736,0.205055,0.137816,0.443491,-0.310443,0.023652,0.006329,0.011518,0.012032,106.822298,14.721814,2.526528,-47.42188,56.227571,24.936405,-80.325102,0.009361,1.605942,0.429716,21.075269,2.942857,0.857492,0.623821,0.045921,3.143928,105.677255,1.491349,0.515975,0.003338
AEE,2025-06-30,0.41783,0.185052,0.123818,0.407474,-0.092301,0.022332,0.005898,0.011016,0.011645,112.260524,13.899885,2.507036,-150.593386,57.780819,23.544188,-255.081177,0.008908,1.622625,0.428547,22.066298,2.71123,0.801425,0.562358,0.047635,3.917108,52.531348,3.134545,0.480414,0.003152
AEE,2025-09-30,0.520193,0.305669,0.237125,0.491293,0.042608,0.050078,0.013498,0.023206,0.020197,48.236944,11.438179,2.415622,268.44908,39.435627,19.37445,454.709925,0.020731,1.573083,0.423992,15.1546,4.331731,0.930481,0.64385,0.056922,3.399244,119.214644,1.725,0.366432,0.002594
AEE,2025-12-31,0.503928,0.20202,0.141414,0.493827,-0.044893,0.018805,0.005198,0.010833,0.010097,122.506524,17.324155,2.303682,-385.895552,59.42232,29.344355,-653.645517,0.008163,1.47974,0.409068,22.519318,2.184466,0.65805,0.459944,0.03676,2.679699,-61.98073,3.793651,0.581369,0.003928
AEE,2026-03-31,0.496783,0.244485,0.164062,0.487132,-0.539982,0.026335,0.007162,0.01307,0.013605,86.475194,14.187336,2.277342,-26.27374,49.331737,24.031085,-44.503525,0.011564,1.571555,0.427396,20.085849,3.04902,0.622152,0.444498,0.043654,3.095306,117.920496,1.179272,0.733456,0.003676
AEP,2024-12-31,0.649682,0.23329,0.141409,0.445372,-0.165279,0.024647,0.006443,0.013919,0.012885,108.263873,15.309507,2.668425,-92.628238,59.456891,26.480428,-160.216481,0.009237,1.698449,0.443965,21.497418,2.507563,0.445,0.313168,0.045561,4.269364,-119.281661,2.601114,0.533101,
AEP,2025-03-31,0.602416,0.235036,0.14644,0.405821,-0.125572,0.029282,0.007663,0.014981,0.015352,89.872548,13.160908,2.631632,-104.807636,56.093835,22.764055,-181.282846,0.011127,1.717752,0.449546,20.784438,2.79596,0.41685,0.305758,0.05233,4.880729,-59.419129,1.8125,0.390994,
AEP,2025-06-30,0.620181,0.27504,0.240972,0.463897,-0.406534,0.041036,0.011373,0.018434,0.015636,58.653972,14.133959,2.406943,-34.766943,52.699395,24.447116,-60.135412,0.017049,1.56086,0.432596,19.40834,3.077222,0.552454,0.410712,0.047198,4.48343,-124.920574,0.996166,0.646582,
AEP,2025-09-30,0.603138,0.253128,0.16172,0.416944,0.298599,0.031985,0.008816,0.017154,0.016222,73.969175,11.962272,2.3659,40.061313,49.624913,20.690808,69.292936,0.013519,1.575884,0.434363,18.446768,3.198427,0.686165,0.527557,0.054514,5.265814,-117.523113,2.530556,0.110642,
AEP,2025-12-31,0.615977,0.222057,0.109495,0.405584,-0.127876,0.018691,0.005085,0.012319,0.012189,123.536148,13.526619,2.309013,-105.779076,57.686257,23.396616,-182.963119,0.008095,1.589954,0.432535,22.559143,2.312699,0.454559,0.332732,0.046438,4.558576,-243.052345,3.115464,0.469005,
AEP,2026-03-31,0.5799,0.231063,0.145183,0.395515,-0.380233,0.027477,0.007421,0.015975,0.014014,82.263202,11.943196,2.260376,-31.41024,52.230169,20.657813,-54.329416,0.012156,1.627767,0.439614,21.336833,2.67029,0.525885,0.39368,0.051114,4.499253,-132.910607,1.737986,0.632558,
AES,2024-12-31,0.141796,0.111411,0.189061,0.358879,-0.215733,0.153677,0.011813,0.00991,0.018669,18.809534,3.556158,2.890598,-16.484099,45.641901,16.379926,-75.926982,0.053165,7.963227,0.612117,25.864534,2.013889,0.79699,0.727803,0.062482,1.799514,-81.183977,1.942857,0.583052,
AES,2025-03-31,0.150718,0.124402,0.015721,0.224539,-0.24231,0.013264,0.000946,0.010692,0.008149,228.985633,3.599911,3.037295,-14.856614,73.84679,16.581456,-68.430665,0.004367,8.816609,0.628942,43.870624,0.935673,0.843108,0.776327,0.060187,1.702152,-25.863405,11.847826,0.428571,
AES,2025-06-30,0.158669,0.141506,-0.033275,0.260946,-0.124694,-0.028198,-0.001957,0.0,0.009569,-110.877254,3.689436,3.126548,-29.588031,65.123948,16.993815,-136.284666,-0.009019,8.985159,0.623604,38.820134,1.110795,0.823024,0.738768,0.058815,1.530831,-10.320548,-10.273684,0.46655,
AES,2025-09-30,0.219338,0.20561,0.190689,0.310355,-0.152492,0.16533,0.012583,0.019848,0.016324,16.484099,3.143342,2.725314,-20.613188,46.65129,14.478466,-94.945873,0.060665,7.98163,0.607467,27.972115,1.939655,0.722917,0.658575,0.065987,1.872067,-145.332249,2.029734,0.53954,
AES,2025-12-31,0.187681,0.165431,0.103193,0.160271,-0.015156,0.07876,0.006181,0.0073,0.002218,32.916685,3.396756,2.592503,-224.113599,97.620405,15.645708,-1032.283855,0.03038,7.358356,0.577519,57.374245,0.263014,0.765662,0.693594,0.059902,1.842543,-89.383383,4.65,0.495002,
AES,2026-03-31,0.201258,0.183962,0.153145,0.32327,-0.177673,0.110181,0.00922,0.016517,0.013387,21.629033,3.312371,2.383108,-18.643078,47.195857,15.257026,-85.8714,0.046234,7.013348,0.586891,28.598249,1.685552,0.729639,0.652257,0.060206,1.926105,-115.000396,2.466119,0.555346,
AFL,2024-12-31,,,0.345944,,0.060567,0.072879,0.016178,,,33.375709,11.546126,2.432393,190.632428,,12.672717,209.233028,0.029962,0.287302,0.063777,,43.7,,,0.046765,7.057766,,0.175079,,
AFL,2025-03-31,,,0.008398,,0.170576,0.001101,0.000241,,,2188.986156,18.384187,2.410229,107.776908,,20.17799,118.293036,0.000457,0.29429,0.064453,,3.9,,,0.028713,3.862416,,20.310345,,
AFL,2025-06-30,,,0.14201,,0.094595,0.022022,0.004802,,,105.977627,15.049929,2.333846,159.099244,,16.518397,174.623054,0.009436,0.328419,0.071615,,16.807692,,,0.033815,4.831615,,0.66611,,
AFL,2025-09-30,,,0.341957,,0.261214,0.057132,0.013401,,,38.731299,13.24444,2.212793,50.703353,,14.536741,55.650638,0.025819,0.30274,0.07101,,35.982456,,,0.039189,5.625587,,0.76388,,
AFL,2025-12-31,,,0.281946,,0.064404,0.046762,0.01184,,,46.033792,12.979063,2.152614,201.52571,,14.245471,221.189201,0.021723,0.285148,0.072199,,26.770492,,,0.041994,5.857485,,0.228426,,
AFL,2026-03-31,,,0.231171,,0.219601,0.034011,0.008763,,,62.296956,14.401225,2.118774,65.579131,,15.806397,71.977891,0.016052,0.263943,0.068008,,21.416667,,,0.037908,4.654699,,0.949951,,
AIG,2024-12-31,,,0.125192,,0.017426,0.021119,0.005567,,,47.529619,5.950313,1.003777,341.452784,,5.892737,338.148819,0.02104,0.209826,0.055306,,15.183486,,,0.044464,0.685559,,0.139198,,
AIG,2025-03-31,,,0.103041,,-0.008267,0.016847,0.004312,,,61.148421,6.300797,1.030185,-762.171392,,6.239829,-754.796471,0.016354,0.211267,0.054076,,11.434783,,,0.04185,0.579767,,-0.080229,,
AIG,2025-06-30,,,0.162477,,0.197557,0.027566,0.006893,,,37.309089,6.061866,1.028447,30.684111,,6.00321,30.387205,0.026803,0.223079,0.055781,,16.44,,,0.042423,0.541074,,1.215909,,
AIG,2025-09-30,,,0.081068,,0.209778,0.012632,0.003176,,,82.238146,6.666916,1.038861,31.780788,,6.602406,31.473271,0.01216,0.224973,0.056562,,8.212121,,,0.039176,0.568359,,2.587669,,
AIG,2025-12-31,,,0.112094,,0.096996,0.017866,0.004558,,,58.070201,6.509318,1.037497,67.109431,,6.446333,66.460067,0.017221,0.223413,0.056997,,7.295238,,,0.040663,0.628005,,0.865306,,
AIG,2026-03-31,,,0.115326,,0.023428,0.018884,0.004723,,,55.939185,6.451269,1.056344,275.365148,,6.388846,272.70066,0.017877,0.226606,0.056678,,10.87,,,0.040955,0.568678,,0.203145,,
AIZ,2024-12-31,,,0.064835,,0.011208,0.039419,0.005748,,,68.140923,4.417923,2.686034,394.159993,,4.510039,402.378387,0.014675,0.407915,0.059482,,10.328358,,,0.088656,0.324977,,0.510681,0.021902,0.007343
AIZ,2025-03-31,,,0.04769,,0.11028,0.028008,0.00419,,,93.565946,4.462189,2.620604,40.462442,,4.555227,41.3061,0.010688,0.398093,0.059554,,7.854478,,,0.087858,0.333982,,2.676671,0.017372,0.004912
AIZ,2025-06-30,,,0.0745,,0.065096,0.042793,0.006623,,,58.294806,4.342948,2.494638,66.715796,,4.4335,68.106848,0.017154,0.379085,0.058673,,11.82397,,,0.088904,0.341084,,1.128347,0.018965,0.007092
AIZ,2025-09-30,,,0.082191,,0.13681,0.046123,0.007423,,,51.644457,4.244706,2.382004,31.026392,,4.33321,31.673304,0.019363,0.383155,0.061662,,12.870968,,,0.090311,0.360264,,1.901355,0.019465,0.007179
AIZ,2025-12-31,,,0.067216,,0.182575,0.038354,0.006206,,,60.909271,4.094069,2.336121,22.424011,,4.179432,22.891561,0.016418,0.37586,0.060814,,11.017668,,,0.092324,0.399142,,2.979574,0.017699,0.007462
AIZ,2026-03-31,,,0.080144,,0.056314,0.0467,0.007663,,,50.042932,4.010634,2.336997,71.218939,,4.094257,72.703883,0.019983,0.376103,0.061716,,12.858657,,,0.095618,0.399204,,0.876687,0.013947,0.005146
AJG,2024-12-31,0.414433,0.174411,0.095103,0.243262,0.256149,0.012816,0.00402,0.01102,0.012793,252.565132,24.019725,3.236954,93.772565,116.865309,28.428906,110.985927,0.003959,0.669098,0.209867,,,1.507621,,0.042269,0.697125,,2.862176,0.016053,0.003608
AJG,2025-03-31,0.480547,0.280655,0.188892,0.34505,0.226456,0.031541,0.009501,0.023992,0.02782,92.667008,17.504044,2.922817,77.295703,60.041143,20.717175,91.48449,0.010791,0.600978,0.181035,,6.525316,1.442896,,0.0503,0.824521,,1.238636,0.007513,0.003756
AJG,2025-06-30,0.426757,0.193865,0.113574,0.267263,-0.144654,0.015888,0.004566,0.013504,0.016763,178.342191,20.255084,2.83357,-140.024841,89.699012,23.973208,-165.728503,0.005607,0.577555,0.165959,,3.972257,1.35963,,0.040198,0.679608,,-1.165391,0.012295,0.003571
AJG,2025-09-30,0.414101,0.159437,0.081026,0.232945,0.206055,0.011751,0.003449,0.011654,0.013253,239.228359,19.383638,2.811262,94.070041,98.485854,22.941796,111.338009,0.00418,0.58974,0.173084,14.934949,3.157338,1.055145,,0.042566,0.620238,,2.681702,0.011231,0.003506
