Ticker,GICS_Sector,Source
IR,Industrials,gics-constituents
IRM,Real Estate,gics-constituents
ISRG,Health Care,gics-constituents
IT,Information Technology,gics-constituents
ITT,Industrials,manual-delisted-besteffort
ITW,Industrials,gics-constituents
IVZ,Financials,gics-constituents
J,Industrials,gics-constituents
JBHT,Industrials,gics-constituents
JBL,Information Technology,gics-constituents
JCI,Industrials,gics-constituents
JEF,Financials,manual-delisted-besteffort
JKHY,Financials,gics-constituents
JNJ,Health Care,gics-constituents
JPM,Financials,gics-constituents
KBH,Consumer Discretionary,manual-delisted-besteffort
KDP,Consumer Staples,gics-constituents
KEY,Financials,gics-constituents
KEYS,Information Technology,gics-constituents
KG,Health Care,manual-delisted-besteffort
KHC,Consumer Staples,gics-constituents
KIM,Real Estate,gics-constituents
KKR,Financials,gics-constituents
KLAC,Information Technology,gics-constituents
KMB,Consumer Staples,gics-constituents
KMG,Energy,manual-delisted-besteffort
KMI,Energy,gics-constituents
KMX,Consumer Discretionary,manual-delisted-besteffort
KO,Consumer Staples,gics-constituents
KR,Consumer Staples,gics-constituents
KSS,Consumer Discretionary,manual-delisted-besteffort
KVUE,Consumer Staples,gics-constituents
L,Financials,gics-constituents
LDOS,Industrials,gics-constituents
LEG,Consumer Discretionary,manual-delisted-besteffort
LEN,Consumer Discretionary,gics-constituents
LH,Health Care,gics-constituents
LHX,Industrials,gics-constituents
LII,Industrials,gics-constituents
LIN,Materials,gics-constituents
LITE,Information Technology,gics-constituents
LLY,Health Care,gics-constituents
LMT,Industrials,gics-constituents
LNC,Financials,manual-delisted-besteffort
LNT,Utilities,gics-constituents
LOW,Consumer Discretionary,gics-constituents
LPX,Materials,manual-delisted-besteffort
LRCX,Information Technology,gics-constituents
LULU,Consumer Discretionary,gics-constituents
LUV,Industrials,gics-constituents
LVS,Consumer Discretionary,gics-constituents
LW,Consumer Staples,manual-gics
LYB,Materials,gics-constituents
LYV,Communication Services,gics-constituents
M,Consumer Discretionary,manual-delisted-besteffort
MA,Financials,gics-constituents
MAA,Real Estate,gics-constituents
MAR,Consumer Discretionary,gics-constituents
MAS,Industrials,gics-constituents
MAT,Consumer Discretionary,manual-delisted-besteffort
MBI,Financials,manual-delisted-besteffort
MCD,Consumer Discretionary,gics-constituents
MCHP,Information Technology,gics-constituents
MCK,Health Care,gics-constituents
MCO,Financials,gics-constituents
MD,Health Care,manual-delisted-besteffort
MDLZ,Consumer Staples,gics-constituents
MDT,Health Care,gics-constituents
MET,Financials,gics-constituents
META,Communication Services,gics-constituents
MGM,Consumer Discretionary,gics-constituents
MII,Industrials,manual-delisted-besteffort
MKC,Consumer Staples,gics-constituents
MLM,Materials,gics-constituents
MMM,Industrials,gics-constituents
MNST,Consumer Staples,gics-constituents
MO,Consumer Staples,gics-constituents
MOH,Health Care,manual-gics
MOLX,Information Technology,manual-delisted-besteffort
MOS,Materials,gics-constituents
MPC,Energy,gics-constituents
MPWR,Information Technology,gics-constituents
MRK,Health Care,gics-constituents
MRNA,Health Care,gics-constituents
MRSH,Financials,gics-constituents
MRVL,Information Technology,gics-constituents
MS,Financials,gics-constituents
MSCI,Financials,gics-constituents
MSFT,Information Technology,gics-constituents
MSI,Information Technology,gics-constituents
MTB,Financials,gics-constituents
MTCH,Communication Services,manual-gics
MTD,Health Care,gics-constituents
MTG,Financials,manual-delisted-besteffort
MTW,Industrials,manual-delisted-besteffort
MU,Information Technology,gics-constituents
MUR,Energy,manual-delisted-besteffort
NC,Energy,manual-delisted-besteffort
NCLH,Consumer Discretionary,gics-constituents
NDAQ,Financials,gics-constituents
NDSN,Industrials,gics-constituents
NEE,Utilities,gics-constituents
NEM,Materials,gics-constituents
NFLX,Communication Services,gics-constituents
NFX,Energy,manual-delisted-besteffort
NGH,Consumer Staples,manual-delisted-besteffort
NI,Utilities,gics-constituents
NKE,Consumer Discretionary,gics-constituents
NLV,Utilities,manual-delisted-besteffort
NMK,Utilities,manual-delisted-besteffort
NOC,Industrials,gics-constituents
NOV,Energy,manual-delisted-besteffort
NOW,Information Technology,gics-constituents
NRG,Utilities,gics-constituents
NSC,Industrials,gics-constituents
NTAP,Information Technology,gics-constituents
NTRS,Financials,gics-constituents
NUE,Materials,gics-constituents
NVDA,Information Technology,gics-constituents
NVR,Consumer Discretionary,gics-constituents
NWL,Consumer Discretionary,manual-delisted-besteffort
NWS,Communication Services,gics-constituents
NWSA,Communication Services,gics-constituents
NXPI,Information Technology,gics-constituents
