Ticker,Date,Open,High,Low,Close,Volume
MSFT,2022-04-22,272.49,273.96,264.46,265.09,29405800
MSFT,2022-04-25,264.37,271.94,261.94,271.56,35678900
MSFT,2022-04-26,268.45,269.28,261.19,261.4,46518400
MSFT,2022-04-27,272.9,281.48,270.05,273.98,63477700
MSFT,2022-04-28,275.89,281.49,272.28,280.18,33646600
MSFT,2022-04-29,279.19,280.42,267.48,268.47,37073900
MSFT,2022-05-02,268.65,275.64,267.21,275.19,35151100
MSFT,2022-05-03,274.7,274.86,271.01,272.59,25978600
MSFT,2022-05-04,273.37,281.39,267.7,280.52,33599300
MSFT,2022-05-05,276.22,277.01,265.39,268.3,43260400
MSFT,2022-05-06,265.84,270.14,262.42,265.77,37780300
MSFT,2022-05-09,261.25,263.47,254.73,255.95,47726000
MSFT,2022-05-10,262.83,264.82,256.42,260.71,39336400
MSFT,2022-05-11,257.01,262.51,250.84,252.05,48975900
MSFT,2022-05-12,249.28,251.4,241.86,247.02,51033800
MSFT,2022-05-13,248.95,254.46,247.02,252.6,34925100
MSFT,2022-05-16,251.48,257.15,247.44,252.97,32550900
MSFT,2022-05-17,257.43,259.58,253.9,258.12,28828800
MSFT,2022-05-18,255.01,255.59,245.09,246.36,31356000
MSFT,2022-05-19,246.19,249.84,244.23,245.45,32692300
MSFT,2022-05-20,249.43,250.69,238.96,244.89,39199300
MSFT,2022-05-23,247.73,253.56,245.73,252.73,33175400
MSFT,2022-05-24,250.06,253.39,245.8,251.74,29043900
MSFT,2022-05-25,250.3,256.54,249.32,254.55,28547900
MSFT,2022-05-26,254.3,259.0,253.49,257.82,25002100
MSFT,2022-05-27,260.33,265.04,259.43,264.94,26910800
MSFT,2022-05-31,264.25,266.42,260.76,263.61,37827700
MSFT,2022-06-01,266.84,269.26,261.84,264.15,25292200
MSFT,2022-06-02,256.42,266.31,253.65,266.24,44008200
MSFT,2022-06-03,262.1,265.15,260.26,261.82,28059000
MSFT,2022-06-06,263.8,265.85,259.1,260.59,22400300
MSFT,2022-06-07,258.54,264.83,257.86,264.22,22860700
MSFT,2022-06-08,263.46,264.71,261.42,262.2,17372300
MSFT,2022-06-09,259.65,264.43,256.59,256.75,26439700
MSFT,2022-06-10,252.67,252.67,244.86,245.31,31422800
MSFT,2022-06-13,237.67,241.46,234.19,234.9,46135800
MSFT,2022-06-14,236.45,238.28,234.18,237.06,28651500
MSFT,2022-06-15,240.77,247.55,238.94,244.11,33111700
MSFT,2022-06-16,238.51,239.91,235.64,237.53,33169200
MSFT,2022-06-17,237.27,242.89,236.62,240.13,43084800
MSFT,2022-06-21,242.66,247.01,241.93,246.03,29928300
MSFT,2022-06-22,244.24,249.36,242.77,245.44,25939900
MSFT,2022-06-23,247.81,251.49,245.93,251.0,25861400
MSFT,2022-06-24,253.86,259.84,253.77,259.57,33923200
MSFT,2022-06-27,260.06,260.15,255.28,256.84,24615100
MSFT,2022-06-28,255.96,258.8,248.54,248.69,27295500
MSFT,2022-06-29,249.77,254.01,247.99,252.36,20069800
MSFT,2022-06-30,249.24,251.65,245.22,249.03,31730900
